"F [GHz]","Ldiff [] - $S='8um'","Ldiff [] - $S='11um'","Ldiff [] - $S='12um'","Ldiff [] - $S='14um'","Ldiff [] - $S='16um'","Qdiff [] - $S='8um'","Qdiff [] - $S='11um'","Qdiff [] - $S='12um'","Qdiff [] - $S='14um'","Qdiff [] - $S='16um'"
3.95,6.07708104027847,5.47672791134066,5.32451510542901,5.04546452661921,4.81868000052858,15.4359284983727,16.8850297806261,17.0614301932023,17.2172533708714,17.9931492349514
4,6.13475887771454,5.51486866751731,5.35899246556042,5.07451770291153,4.8428402386578,15.3571366396383,16.829413554529,17.0101299100968,17.1794578167231,17.9620959545129
4.05,6.19439029046453,5.55409905214595,5.39441959337003,5.10433010175126,4.86759310586171,15.2725705195046,16.7686150088619,16.953805519445,17.1368784386301,17.9263333434127
4.1,6.25605827141202,5.59445459157516,5.43082555054968,5.13492263824603,4.89295304759216,15.1822746695599,16.7026924823554,16.8925188184559,17.0895718826112,17.8859251973498
4.15,6.31985094100071,5.63597259354479,5.4682407925268,5.1663171691626,4.91893511320667,15.0862956894841,16.6317055939517,16.8263326923014,17.0375958551572,17.8409361112404
4.2,6.38586193328186,5.67869225082799,5.50669724457671,5.1985365391594,4.94555498202601,14.9846822107877,16.5557151827591,16.7553110503409,16.9810090611796,17.7914314145592
4.25,6.45419081810412,5.72265475266494,5.54622838340424,5.23160463014121,4.97282899104279,14.8774848601677,16.4747832484212,16.67951876313,16.9198711425268,17.7374771076634
4.3,6.52494356337889,5.7679034046411,5.58686932462357,5.26554641395501,5.00077416438126,14.7647562224524,16.3889728919869,16.5990216003008,16.8542426171967,17.6791397992187
4.35,6.59823304185549,5.81448375772929,5.62865691660704,5.3003880086658,5.02940824461615,14.6465508031188,16.2983482573685,16.5138861694009,16.7841848193538,17.616486644828
4.4,6.67417958741295,5.86244374728834,5.6716298412193,5.33615673867338,5.05874972606911,14.5229249903675,16.2029744734705,16.424179855767,16.7097598402587,17.5495852869547
4.45,6.75291160653186,5.91183384289279,5.71582872200406,5.37288119895451,5.08881789021015,14.393937016749,16.1029175970579,16.3299707635028,16.6310304701931,17.4785037962199
4.5,6.83456625136397,5.96270720995939,5.76129624044674,5.41059132374141,5.11963284330345,14.2596469203376,15.998244556438,16.2313276576253,16.5480601414706,17.4033106141397
4.55,6.9192901616853,6.01511988423789,5.80807726099866,5.44931845997616,5.15121555644822,14.1201165054514,15.8890230960162,16.1283199074353,16.4609128725999,17.3240744973612
4.6,7.00724028402008,6.06913096034696,5.85621896561728,5.48909544591199,5.18358790817835,13.975409302928,15.7753217217835,16.0210174311624,16.3696532136659,17.2408644634475
4.65,7.09858477738071,6.12480279566352,5.90577099865378,5.52995669526732,5.21677272979889,13.8255905299578,15.6572096477897,15.9094906419283,16.2743461929872,17.1537497382481
4.7,7.19350401641089,6.1822012310162,5.95678562300494,5.57193828737665,5.25079385365216,13.6707270494906,15.5347567436491,15.7938103950681,16.1750572650931,17.0627997048894
4.75,7.2921917042779,6.24139582979344,6.00931788854121,5.61507806382459,5.2856761645236,13.5108873292262,15.4080334831196,15.6740479368395,16.0718522600645,16.968083854409
4.8,7.39485610947531,6.30246013725693,6.06342581392953,5.65941573209606,5.32144565441521,13.3461414002042,15.2771108937971,15.5502748545481,15.9647973342725,16.8696717380476
4.85,7.50172144281607,6.3654719620533,6.11917058308814,5.70499297682724,5.35812948093461,13.1765608150124,15.1420605079523,15.4225630281143,15.8539589225396,16.7676329212164
4.9,7.61302939337636,6.43051368214546,6.1766167576437,5.7518535792992,5.39575602956964,13.0022186056307,15.0029543145433,15.290984583091,15.7394036917491,16.6620369391379
4.95,7.72904084506058,6.49767257764313,6.23583250691078,5.80004354587947,5.43435498014208,12.8231892409308,14.8598647124256,15.1556118451533,15.6211984959152,16.5529532541666
5,7.85003779888249,6.5670411933038,6.29688985708063,5.84961124618736,5.4739573777608,12.6395485838551,14.7128644647803,15.0165172960631,15.4994103327286,16.4404512147806
5.05,7.97632553009835,6.63871773380639,6.35986496149542,5.90060756183745,5.5145957086231,12.4513738482936,14.5620266547769,14.8737735311142,15.3741063015801,16.324600016236
5.1,8.10823501411018,6.7128064952754,6.42483839409589,5.95308604670256,5.55630398104506,12.2587435556851,14.4074246424827,14.7274532180588,15.2453535630678,16.2054686628744
5.15,8.24612566073348,6.78941833696052,6.49189546837018,6.00710309973542,5.59911781213682,12.061737491363,14.2491320230272,14.5776290575111,15.1132192999828,16.0831259320613
5.2,8.39038840318181,6.86867119746355,6.56112658440218,6.06271815149664,5.6430745205769,11.8604366606714,14.0872225860281,14.4243737448233,14.9777706797707,15.957640339742
5.25,8.54144919619316,6.95069066045984,6.63262760692378,6.1199938656582,5.68821322598291,11.6549232448744,13.9217702762815,14.2677599334219,14.8390748184562,15.8290801075871
5.3,8.69977298739552,7.03561057549683,6.70650027762294,6.17899635688808,5.73457495542266,11.445280556883,13.7528491557133,14.1078601995942,14.6971987460222,15.697513131708
5.35,8.8658682376395,7.12357374018019,6.78285266535327,6.239795426674,5.78220275766202,11.231592996823,13.5805333665917,13.9447470087083,14.5522093732253,15.5630069529105
5.4,9.04029208005805,7.2147326508937,6.86179965833948,6.30246481881576,5.83114182580369,11.0139460074682,13.4048970959921,13.7784926828505,14.4041734598323,15.4256287284623
5.45,9.22365622460344,7.30925033016013,6.94346350298365,6.36708249650841,5.88143962903515,10.7924260295629,13.2260145415085,13.6091693698596,14.253157584256,15.2854452053392
5.5,9.41663373546032,7.40730123985875,7.0279743944608,6.43373094315553,5.93314605427496,10.5671204570553,13.0439598781979,13.4368490137361,14.0992281145699,15.1425226949224
