"F [GHz]","Ldiff [] - $R_out='180um'","Ldiff [] - $R_out='190um'","Ldiff [] - $R_out='200um'","Ldiff [] - $R_out='210um'","Ldiff [] - $R_out='213um'","Ldiff [] - $R_out='220um'","Qdiff [] - $R_out='180um'","Qdiff [] - $R_out='190um'","Qdiff [] - $R_out='200um'","Qdiff [] - $R_out='210um'","Qdiff [] - $R_out='213um'","Qdiff [] - $R_out='220um'"
10.05,7.92362034162573,13.281214062979,31.3845834722148,-25.2745792693339,-20.3879089445593,-13.469619903136,7.09439593173996,4.46446368055967,1.45860596537166,-2.22908672879062,-3.0741091035399,-4.94543889311794
10.1,8.09757089299361,13.7777800787078,32.7142477616129,-23.5859310017063,-19.1601222965494,-12.869297258778,6.92021814572677,4.27192067290098,1.24763128729718,-2.44665060321454,-3.29555568492747,-5.16321243217328
10.15,8.28031684300197,14.3134363180278,33.3665204384727,-22.0516380689688,-18.0514016036427,-12.3148438818042,6.74549086030973,4.07915030252314,1.03681776282323,-2.66352299082344,-3.51620476914374,-5.37984959342713
10.2,8.47251711753755,14.8924501310268,32.6605697897039,-20.6636887959695,-17.0477391867089,-11.8014091283306,6.57023285371477,3.88617364664372,0.826189870136462,-2.87967713987284,-3.7360282488701,-5.59532388574007
10.25,8.6748959043558,15.5195983976774,29.5803581238536,-19.4096021518822,-16.1366112631677,-11.3247721365851,6.39446283102665,3.69301166880712,0.61577190119338,-3.09508658472999,-3.95499832943352,-5.80960919752203
10.3,8.88825055484942,16.2001936680633,22.9832914553761,-18.2757012162031,-15.3070093128408,-10.8812488105455,6.21819942718733,3.49968522231265,0.405587963868816,-3.30972514535576,-4.17308752947053,-6.02267979724229
10.35,9.11346058124474,16.9400795593917,12.3852715271051,-17.2486732335857,-14.5493432700009,-10.4676134050984,6.04146120998062,3.30621505359189,0.195661984046813,-3.52356692685473,-4.39026868166637,-6.2345103340148
10.4,9.35149790879071,17.7455665349047,-0.915039701396781,-16.3162504249474,-13.8552949032536,-10.0810325053958,5.86426668300072,3.11262180553293,-0.013982292348067,-3.73658631909318,-4.60651493356705,-6.44507583825476
10.45,9.60343856218912,18.6232576425792,-13.8661230099099,-15.4674461011095,-13.2176600484786,-9.71900943034835,5.68663428860148,2.91892602074821,-0.22332129738022,-3.94875799638317,-4.82179974846185,-6.6543517224024
10.5,9.87047598460249,19.5796763574217,-23.6460721715256,-14.6925725797634,-12.6301978208099,-9.37933735864202,5.50858241082337,2.7251481447834,-0.432331639195355,-4.16005691723205,-5.03609690633375,-6.86231378171097
