"F [GHz]","Ldiff [] - $W='15um'","Ldiff [] - $W='17.5um'","Ldiff [] - $W='20um'","Ldiff [] - $W='22.5um'","Ldiff [] - $W='25um'","Ldiff [] - $W='27.5um'","Ldiff [] - $W='30um'","Qdiff [] - $W='15um'","Qdiff [] - $W='17.5um'","Qdiff [] - $W='20um'","Qdiff [] - $W='22.5um'","Qdiff [] - $W='25um'","Qdiff [] - $W='27.5um'","Qdiff [] - $W='30um'"
8.7,-31.8073188982575,-38.5953022033472,-42.2311882522831,-29.2509062453825,-31.2116646845335,-31.0938404293085,-31.3852629542609,-3.53425690514079,-2.65147394083622,-2.01800575661087,-2.93167997615282,-2.52780965529999,-2.31976185146072,-2.05023683640331
8.75,-29.6758369493467,-35.6334589494665,-38.9181699549595,-27.2047296385869,-28.8971036837352,-28.7498981569149,-29.0034625382756,-3.80791359083099,-2.92098523277705,-2.27294461875839,-3.18584188174008,-2.7807248346195,-2.56972268042651,-2.29631161294883
8.8,-27.7810811470675,-33.0202245350777,-35.9289597610456,-25.3857231070308,-26.8397025786465,-26.6573380887749,-26.8499144812145,-4.08064939724279,-3.18960145509262,-2.52698879959756,-3.43903006498485,-3.03269767385995,-2.81876429030179,-2.54156755185766
8.85,-26.0891667214947,-30.7112484540309,-33.2623004422233,-23.7640668036229,-25.0108518688074,-24.7946921951263,-24.9217810608678,-4.35241293485366,-3.4572782079542,-2.78010137307632,-3.69120196986844,-3.28368748783798,-3.06684527652681,-2.78596302394282
8.9,-24.5715296843678,-28.664683173569,-30.892530677287,-22.3131948752163,-23.3817879337815,-23.1360097795669,-23.201297561865,-4.62315367474371,-3.72397187457511,-3.03224611993021,-3.94231575338292,-3.53365426482589,-3.31392488056918,-3.02945699175554
8.95,-23.2041974701924,-26.8434993699552,-28.7865111018927,-21.0100840690851,-21.9261205000239,-21.6556899855084,-21.6660195543538,-4.89282194785909,-3.98963961452928,-3.28338751724725,-4.19233028318187,-3.78255866320649,-3.55996298802189,-3.27200900883418
9,-21.9670589109831,-25.2158865007278,-26.9109581217969,-19.8350473195033,-20.6206267217503,-20.3303924850214,-20.2933895124717,-5.16136894388239,-4.25423935690095,-3.5334907280119,-4.4412051350981,-4.03036200807494,-3.8049201266773,-3.51357921894777
9.05,-20.843210348117,-23.7548923970795,-25.235358082001,-18.7713502131512,-19.4452850016948,-19.1396103010236,-19.062613341449,-5.42874670972713,-4.51772979328103,-3.78252159064095,-4.68890059053499,-4.27702628779221,-4.04875746458003,-3.75412835533542
9.1,-19.8183985299925,-22.4378114991912,-23.7328765363007,-17.8047929272371,-18.3830025085392,-18.0656534980994,-17.9552812073753,-5.6949081476727,-4.78007037062511,-4.03044660852342,-4.93537763373711,-4.52251415049472,-4.29143680806202,-3.99361773994548
9.15,-18.880557657965,-21.2455398565164,-22.3803903665127,-16.9233176803148,-17.4192452250095,-17.0933963243664,-16.9554209949858,-5.95980701315686,-5.0412212839872,-4.27723293957625,-5.18059794894696,-4.76678890056476,-4.53292059976229,-4.23200928267549
9.2,-18.0194294601812,-20.1619831290898,-21.158167848027,-16.1166632387451,-16.5416631429372,-16.2099512960789,-16.0493138942669,-6.22339791224099,-5.30114346914384,-4.52284838582666,-5.42452391745239,-5.00981449506523,-4.77317191663376,-4.46926548061494
9.25,-17.2262531853458,-19.1735449508984,-20.0494377075731,-15.3760705772703,-15.7397482664644,-15.4043431386828,-15.2252279757304,-6.48563629876519,-5.55979859512162,-4.76726138303231,-5.6671186145316,-5.25155554014286,-5.01215446793941,-4.70534941729286
9.3,-16.4935130951334,-18.2686977226867,-19.0399537788362,-14.6940363992917,-15.0045374929333,-14.6672122609519,-14.473141224576,-6.7464784712079,-5.81714905664159,-5.01044099034945,-5.9083458063001,-5.49197728740348,-5.24983259323932,-4.9402247619301
9.35,-15.814732658975,-17.4376280029841,-18.1175984093651,-14.0641085711666,-14.3283609767819,-13.9905571335035,-13.7844845498099,-7.00588156926582,-6.07315796649307,-5.25235688005887,-6.14816994646481,-5.73104563026215,-5.48617126037042,-5.17385576869884
9.4,-15.184306455797,-16.6719456973451,-17.2720382900797,-13.4807170407206,-13.7046318860061,-13.3675157812601,-13.1519156459174,-7.26380357016921,-6.32778914784961,-5.49297932735914,-6.38655617299146,-5.96872710027218,-5.72113606342013,-5.40620727598859
9.45,-14.5973624540084,-15.9644462553293,-16.494433212532,-12.9390342486903,-13.1276719517427,-12.792182827197,-12.5691254535771,-7.52020328474713,-6.58100712653826,-5.7322792002362,-6.62347030468855,-6.20498886343486,-5.95469322069494,-5.63724470567964
9.5,-14.0496487703862,-15.3089162413823,-15.7771928948664,-12.4348598100721,-12.592567142231,-12.2594573129787,-12.0306750033392,-7.77504035325695,-6.83277712327437,-5.97022794941825,-6.85887883771331,-6.43979871649381,-6.18680957268498,-5.86693406242426
9.55,-13.5374401878442,-14.699974120689,-15.1137753177092,-11.9645250674741,-12.0950483160185,-11.7649164774924,-11.5318589737884,-8.02827524099252,-7.08306504587262,-6.2067975984235,-7.09274894200471,-6.67312508321485,-6.41745258002494,-6.09524193293487
9.6,-13.0574606648419,-14.1329395391878,-14.4985199613319,-11.5248138840538,-11.6313924232583,-11.3047111149413,-11.0685920251815,-8.27986923368455,-7.33183748144467,-6.44196073370968,-7.32504845764626,-6.90493701065595,-6.64659032145207,-6.32213548527945
9.65,-12.6068188300484,-13.6037256445143,-13.9265099607772,-11.1128967080966,-11.1983405452235,-10.8754787328102,-10.637314219351,-8.52978443270665,-7.57906168859451,-6.67569049493182,-7.55574589116478,-7.13520416542717,-6.87419149176121,-6.54758246818344
9.7,-12.1829540598128,-13.1087500584264,-13.3934580341755,-10.7262754981084,-10.7930297150294,-10.4742713361491,-10.23491228179,-8.77798375010002,-7.82470558962051,-6.90796056531629,-7.78481041176727,-7.36389682994386,-7.10022539975728,-6.77155121033748
9.75,-11.7835912141177,-12.644860980707,-12.8956118818521,-10.3627375547221,-10.4129360227998,-10.098495215158,-9.85865394754934,-9.02443090342981,-8.06873776273402,-7.13874516215748,-8.01221184752087,-7.59098589867522,-7.32466196620469,-6.99401061970941
9.8,-11.406702485068,-12.2092756047461,-12.4296755140853,-10.0203166771923,-10.05582697546,-9.74586058723083,-9.50613308985872,-9.26909041048546,-8.31112743430383,-7.36801902744385,-8.23792068147993,-7.81644287438861,-7.5474717217738,-7.21493018286063
9.85,-11.050475111722,-11.7995285843845,-11.992743616571,-9.69726036203768,-9.71972146407232,-9.4143393412813,-9.17522373279334,-9.5119275838365,-8.55184447113486,-7.59575741861902,-8.46190804776241,-8.04023986439268,-7.76862580498371,-7.43427996426424
9.9,-10.7132839530243,-11.4134287367049,-11.5822466047021,-9.39200200253856,-9.40285600233269,-9.10212945845583,-8.86404139084218,-9.75290852525675,-8.7908593727894,-7.82193609948471,-8.68414572758042,-8.26234957677952,-7.98809596014093,-7.65203060562451
9.95,-10.3936681000113,-11.049022519141,-11.1959044616124,-9.10313724159488,-9.10365615074959,-8.80762494911844,-8.57091046215887,-9.99200012002678,-9.0281432639595,-8.04653133125022,-8.90460614522768,-8.48274531666813,-8.20585453527322,-7.86815332519545
10,-10.0903108596989,-10.7045631004254,-10.8316878149738,-8.82940378624476,-8.82071224314205,-8.52939036131321,-8.29433663543011,-10.229170031127,-9.26366788689709,-8.26951986373358,-9.12326236402694,-8.70140098244936,-8.42187448005801,-8.0826199170967
10.05,-9.80202256423792,-10.3784840687132,-10.4877849980803,-8.56966411756418,-8.55275869480665,-8.26613908989642,-8.03298346041626,-10.4643866933312,-9.49740559391005,-8.49087892672032,-9.34008808224131,-8.91829106203442,-8.63612934374385,-8.29540275062589
10.1,-9.52772575636746,-10.0693769988066,-10.1625740746816,-8.32289063084092,-8.29865630278243,-8.0167148560062,-7.7856523866579,-10.6976193072106,-9.72932933993092,-8.71058622148349,-9.55505762895059,-9.13339062910736,-8.84859327306436,-8.50647476956383
10.15,-9.26644238083823,-9.77597224330323,-9.85459899525675,-8.08815282273247,-8.05737705439847,-7.78007584001483,-7.55126570009443,-10.9288378330598,-9.95941267516437,-8.92861991246963,-9.76814595989845,-9.34667533938195,-9.05924101014359,-8.71580949147168
10.2,-9.01728267519398,-9.49712242719124,-9.56254920399781,-7.8646062084689,-7.82799104579463,-7.5552810429031,-7.32885188890746,-11.1580129847519,-10.1876297378201,-9.14495861915492,-9.9793286533102,-9.55812142686483,-9.26804789039091,-8.92338100697794
10.25,-8.77943550510866,-9.23178821779429,-9.28524213801588,-7.65148270613233,-7.60965518141509,-7.34147852539816,-7.11753305233278,-11.3851162235348,-10.4139552469369,-9.35958140807549,-10.1885819056849,-9.76770570012462,-9.47498984038514,-9.12916397905164
10.3,-8.55215993176688,-8.97902601663463,-9.02160815909186,-7.44808226908567,-7.40160338181351,-7.13789523466597,-6.91651403319199,-11.6101197517748,-10.6383644953044,-9.57246778503463,-10.3958825275656,-9.97540553856812,-9.68004337574529,-9.33313364226108
10.35,-8.33477783342099,-8.73797728034781,-8.77067753835995,-7.25376558367642,-7.20313807304208,-6.94382817759762,-6.72507300947746,-11.8329965066581,-10.860833342485,-9.78359768749142,-10.6012079392886,-10.1811988887237,-9.88318559898741,-9.53526580201451
10.4,-8.12666743174357,-8.50785922708751,-8.53156917937856,-7.06794767895291,-7.01362276846527,-6.75863673996649,-6.54255332489402,-12.0537201538577,-11.0813382079453,-9.99295147713299,-10.8045361667138,-10.3850642605323,-10.084394197366,-9.73553683378061
10.45,-7.92725759710046,-8.28795672514535,-8.30348081808045,-6.890092319531,-6.83247558466193,-6.58173598370823,-6.36835637475206,-12.2722650811733,-11.2998560642974,-10.2005099326334,-11.0058458369394,-10.5869807236471,-10.2836474406972,-9.93392368228585
10.5,-7.73602282633165,-8.07761519354286,-8.08568048145988,-6.71970707292128,-6.65916355845185,-6.41259078168363,-6.20193539356746,-12.4886063921512,-11.516364430657,-10.4062542426023,-11.2051161740039,-10.7869279037415,-10.4809241791642,-10.1304038606874
10.55,-7.55247880279954,-7.87623437153737,-7.87749902243028,-6.55633895935775,-6.4931976530339,-6.25071067163847,-6.04279001539658,-12.7027198996937,-11.7308413661214,-10.6101659987244,-11.4023269945747,-10.9848859788249,-10.6762038411012,-10.3249554497163
10.6,-7.37617846194312,-7.68326283643011,-7.67832357756153,-6.39957060608861,-6.33412835858019,-6.09564532956575,-5.89046149831096,-12.914582119662,-11.9432654633715,-10.8122271890939,-11.5974587036272,-11.1808356755687,-10.8694664307553,-10.5175570967919
10.65,-7.20670849685134,-7.49819316766542,-7.48759181857857,-6.24901683970848,-6.1815418070551,-5.94698057802127,-5.74452852129786,-13.1241702644804,-12.1536158424016,-11.0124201917441,-11.7904922901167,-11.3747582656398,-11.0606925260244,-10.7081880151007
